episode,max_velocity
beijing_guqiuyi_20260407_pm_rollout/20260407_164710_fail,0.675954
beijing_guqiuyi_20260407_pm_rollout/20260407_164436_fail,0.641028
beijing_guqiuyi_20260407_pm_rollout/20260407_163042_fail,0.634684
beijing_guqiuyi_20260407_pm_rollout/20260407_163558_fail,0.597942
beijing_guqiuyi_20260407_pm_rollout/20260407_161441_success,0.583010
beijing_guqiuyi_20260407_pm_rollout/20260407_160029_fail,0.567208
beijing_guqiuyi_20260407_pm_rollout/20260407_160247_fail,0.556119
beijing_guqiuyi_20260407_pm_rollout/20260407_165257_success,0.539625
beijing_guqiuyi_20260407_pm_rollout/20260407_163814_fail,0.529937
beijing_guqiuyi_20260407_pm_rollout/20260407_165109_fail,0.518895
beijing_guqiuyi_20260407_pm_rollout/20260407_161751_fail,0.508431
beijing_guqiuyi_20260407_pm_rollout/20260407_164858_fail,0.472624
beijing_guqiuyi_20260407_pm_rollout/20260407_161951_fail,0.467472
beijing_guqiuyi_20260407_pm_rollout/20260407_155835_fail,0.435548
beijing_guqiuyi_20260407_pm_rollout/20260407_162142_fail,0.426947
beijing_guqiuyi_20260407_pm_rollout/20260407_161243_fail,0.412507
beijing_guqiuyi_20260407_pm_rollout/20260407_164231_fail,0.376292
beijing_guqiuyi_20260407_pm_rollout/20260407_162608_fail,0.375399
beijing_guqiuyi_20260407_pm_rollout/20260407_164019_fail,0.373065
beijing_guqiuyi_20260407_pm_rollout/20260407_163243_fail,0.356677
